Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1880147,-,-,-,31.25,34.82,0,295,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,GHI
2017,1,1,0,30,0,0
2017,1,1,1,30,0,0
2017,1,1,2,30,0,0
2017,1,1,3,30,0,0
2017,1,1,4,30,0,0
2017,1,1,5,30,47,61
2017,1,1,6,30,676,298
2017,1,1,7,30,799,459
2017,1,1,8,30,280,392
2017,1,1,9,30,889,622
2017,1,1,10,30,883,605
2017,1,1,11,30,858,526
2017,1,1,12,30,781,385
2017,1,1,13,30,617,207
2017,1,1,14,30,212,33
2017,1,1,15,30,0,0
2017,1,1,16,30,0,0
2017,1,1,17,30,0,0
2017,1,1,18,30,0,0
2017,1,1,19,30,0,0
2017,1,1,20,30,0,0
2017,1,1,21,30,0,0
2017,1,1,22,30,0,0
2017,1,1,23,30,0,0
2017,1,2,0,30,0,0
2017,1,2,1,30,0,0
2017,1,2,2,30,0,0
2017,1,2,3,30,0,0
2017,1,2,4,30,0,0
2017,1,2,5,30,495,119
2017,1,2,6,30,753,310
2017,1,2,7,30,864,474
2017,1,2,8,30,913,587
2017,1,2,9,30,944,640
2017,1,2,10,30,924,618
2017,1,2,11,30,878,531
2017,1,2,12,30,786,389
2017,1,2,13,30,609,207
2017,1,2,14,30,0,11
2017,1,2,15,30,0,0
2017,1,2,16,30,0,0
2017,1,2,17,30,0,0
2017,1,2,18,30,0,0
2017,1,2,19,30,0,0
2017,1,2,20,30,0,0
2017,1,2,21,30,0,0
2017,1,2,22,30,0,0
2017,1,2,23,30,0,0
2017,1,3,0,30,0,0
2017,1,3,1,30,0,0
2017,1,3,2,30,0,0
2017,1,3,3,30,0,0
2017,1,3,4,30,0,0
2017,1,3,5,30,492,117
2017,1,3,6,30,4,115
2017,1,3,7,30,851,466
2017,1,3,8,30,903,579
2017,1,3,9,30,882,622
2017,1,3,10,30,877,606
2017,1,3,11,30,208,333
2017,1,3,12,30,771,388
2017,1,3,13,30,6,87
2017,1,3,14,30,207,36
2017,1,3,15,30,0,0
2017,1,3,16,30,0,0
2017,1,3,17,30,0,0
2017,1,3,18,30,0,0
2017,1,3,19,30,0,0
2017,1,3,20,30,0,0
2017,1,3,21,30,0,0
2017,1,3,22,30,0,0
2017,1,3,23,30,0,0
2017,1,4,0,30,0,0
2017,1,4,1,30,0,0
2017,1,4,2,30,0,0
2017,1,4,3,30,0,0
2017,1,4,4,30,0,0
2017,1,4,5,30,434,112
2017,1,4,6,30,0,99
2017,1,4,7,30,808,457
2017,1,4,8,30,875,571
2017,1,4,9,30,166,374
2017,1,4,10,30,907,609
2017,1,4,11,30,878,529
2017,1,4,12,30,32,168
2017,1,4,13,30,605,210
2017,1,4,14,30,221,38
2017,1,4,15,30,0,0
2017,1,4,16,30,0,0
2017,1,4,17,30,0,0
2017,1,4,18,30,0,0
2017,1,4,19,30,0,0
2017,1,4,20,30,0,0
2017,1,4,21,30,0,0
2017,1,4,22,30,0,0
2017,1,4,23,30,0,0
2017,1,5,0,30,0,0
2017,1,5,1,30,0,0
2017,1,5,2,30,0,0
2017,1,5,3,30,0,0
2017,1,5,4,30,0,0
2017,1,5,5,30,513,118
2017,1,5,6,30,756,306
2017,1,5,7,30,866,472
2017,1,5,8,30,916,585
2017,1,5,9,30,932,639
2017,1,5,10,30,375,455
2017,1,5,11,30,272,361
2017,1,5,12,30,151,231
2017,1,5,13,30,0,68
2017,1,5,14,30,0,15
2017,1,5,15,30,0,0
2017,1,5,16,30,0,0
2017,1,5,17,30,0,0
2017,1,5,18,30,0,0
2017,1,5,19,30,0,0
2017,1,5,20,30,0,0
2017,1,5,21,30,0,0
2017,1,5,22,30,0,0
2017,1,5,23,30,0,0
2017,1,6,0,30,0,0
2017,1,6,1,30,0,0
2017,1,6,2,30,0,0
2017,1,6,3,30,0,0
2017,1,6,4,30,0,0
2017,1,6,5,30,544,122
2017,1,6,6,30,784,315
2017,1,6,7,30,888,482
2017,1,6,8,30,938,599
2017,1,6,9,30,923,646
2017,1,6,10,30,920,630
2017,1,6,11,30,891,549
2017,1,6,12,30,811,407
2017,1,6,13,30,653,225
2017,1,6,14,30,244,42
2017,1,6,15,30,0,0
2017,1,6,16,30,0,0
2017,1,6,17,30,0,0
2017,1,6,18,30,0,0
2017,1,6,19,30,0,0
2017,1,6,20,30,0,0
2017,1,6,21,30,0,0
2017,1,6,22,30,0,0
2017,1,6,23,30,0,0
2017,1,7,0,30,0,0
2017,1,7,1,30,0,0
2017,1,7,2,30,0,0
2017,1,7,3,30,0,0
2017,1,7,4,30,0,0
2017,1,7,5,30,317,106
2017,1,7,6,30,613,293
2017,1,7,7,30,758,460
2017,1,7,8,30,839,581
2017,1,7,9,30,858,634
2017,1,7,10,30,856,620
2017,1,7,11,30,808,536
2017,1,7,12,30,786,406
2017,1,7,13,30,608,222
2017,1,7,14,30,179,42
2017,1,7,15,30,0,0
2017,1,7,16,30,0,0
2017,1,7,17,30,0,0
2017,1,7,18,30,0,0
2017,1,7,19,30,0,0
2017,1,7,20,30,0,0
2017,1,7,21,30,0,0
2017,1,7,22,30,0,0
2017,1,7,23,30,0,0
2017,1,8,0,30,0,0
2017,1,8,1,30,0,0
2017,1,8,2,30,0,0
2017,1,8,3,30,0,0
2017,1,8,4,30,0,0
2017,1,8,5,30,216,99
